Id	CustomerId	State	FromCode	ToCode
		PR	601	795
		NY	501	544
		VI	801	851
		PR	901	988
		MA	1001	2791
		RI	2801	2940
		NH	3031	3897
		ME	3901	4992
		VT	5001	5495
		MA	5501	5544
		VT	5601	5907
		CT	6001	6389
		NY	6390	6390
		CT	6401	6928
		NJ	7001	8989
		AE	9001	9898
		NY	10001	14925
		PA	15001	19640
		DE	19701	19980
		DC	20001	20098
		VA	20101	20199
		DC	20201	20586
		MD	20588	20588
		DC	20590	20597
		VA	20598	20598
		DC	20599	20599
		MD	20601	21930
		VA	22003	24658
		WV	24701	26886
		NC	27006	28909
		SC	29001	29945
		GA	30002	31999
		FL	32003	33994
		AA	34001	34099
		FL	34101	34997
		AL	35004	36925
		TN	37010	38589
		MS	38601	39776
		GA	39813	39901
		KY	40003	42788
		OH	43001	45999
		IN	46001	47997
		MI	48001	49971
		IA	50001	52809
		WI	53001	54990
		MN	55001	56763
		DC	56901	56972
		SD	57001	57799
		ND	58001	58856
		MT	59001	59937
		IL	60001	62999
		MO	63001	65899
		KS	66002	67954
		NE	68001	69367
		LA	70001	71497
		AR	71601	72959
		OK	73001	73199
		TX	73301	73344
		OK	73401	74966
		TX	75001	79999
		CO	80001	81658
		WY	82001	83128
		ID	83201	83406
		WY	83414	83414
		ID	83415	83877
		UT	84001	84791
		AZ	85001	86556
		NM	87001	88439
		TX	88510	88595
		NV	88901	89883
		CA	90001	96162
		AP	96201	96698
		HI	96701	96797
		AS	96799	96799
		HI	96801	96898
		GU	96910	96932
		PW	96939	96940
		FM	96941	96944
		MP	96950	96952
		MH	96960	96970
		OR	97001	97920
		WA	98001	99403
		AK	99501	99950
